Title,Bucket,Level,Domain,Practice ID,Parent,Task Type,Priority,Owner,Supporting Owners,Dependencies,Labels,Description,Definition of Done
Validate SC Level 1 family implementation,L1 System & Comms Protection,Level 1,SC,,Complete SC Level 1 family readiness,Implementation,Critical,Joshua Hornback,Sulaiman Ahmad,Policy and procedure for SC,L1;SC;Implementation,"Validate the family-level implementation approach, tooling, records, and operating cadence for SC.",Family-level implementation checks are complete and deficiencies are recorded.
Collect SC Level 1 family evidence set,L1 System & Comms Protection,Level 1,SC,,Complete SC Level 1 family readiness,Evidence,High,Joshua Hornback,Sulaiman Ahmad,SC implementation validation; evidence index,L1;SC;Evidence,Assemble the baseline artifact and proof set for the Level 1 SC family.,"The family evidence set is complete, current, and referenced in the evidence index."
Review SC Level 1 family package,L1 System & Comms Protection,Level 1,SC,,Complete SC Level 1 family readiness,Review,High,Sulaiman Ahmad,Sulaiman Ahmad,SC family evidence set,L1;SC;Review,"Review the full Level 1 SC package for completeness, traceability, and readiness.",The family package passes internal review or has tracked corrective actions.
Approve SC Level 1 family package,L1 System & Comms Protection,Level 1,SC,,Complete SC Level 1 family readiness,Approval,High,Ryan Lin,Joshua Hornback,SC family review complete,L1;SC;Approval;Executive,Approve the Level 1 SC package for inclusion in the final readiness set.,Leadership approval or explicit residual risk acceptance is recorded.
Validate SC.L1-3.13.1 Boundary Protection,L1 System & Comms Protection,Level 1,SC,SC.L1-3.13.1,Complete SC Level 1 family readiness,Practice,Critical,Joshua Hornback,Sulaiman Ahmad,SC Level 1 policy and procedure,L1;SC;Practice;SC.L1-3.13.1,Validate implementation of SC.L1-3.13.1 Boundary Protection in the live environment.,SC.L1-3.13.1 is implemented or a concrete gap is documented.
Collect evidence for SC.L1-3.13.1,L1 System & Comms Protection,Level 1,SC,SC.L1-3.13.1,Complete SC Level 1 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,Validate SC.L1-3.13.1 Boundary Protection; Level 1 evidence index,L1;SC;Evidence;SC.L1-3.13.1,Collect artifact and operational proof for SC.L1-3.13.1 Boundary Protection.,"Evidence for SC.L1-3.13.1 is current, stored, and mapped in the evidence index."
Remediate SC.L1-3.13.1 gaps,L1 System & Comms Protection,Level 1,SC,SC.L1-3.13.1,Complete SC Level 1 family readiness,Remediation,Critical,Joshua Hornback,Sulaiman Ahmad,Gap assessment; evidence review for SC.L1-3.13.1,L1;SC;Remediation;SC.L1-3.13.1,"Close any documentation, implementation, or evidence gaps found for SC.L1-3.13.1 Boundary Protection.",Gaps for SC.L1-3.13.1 are closed or formally tracked with owner and due date.
Validate SC.L1-3.13.5 Public-Access System Separation,L1 System & Comms Protection,Level 1,SC,SC.L1-3.13.5,Complete SC Level 1 family readiness,Practice,Critical,Joshua Hornback,Sulaiman Ahmad,SC Level 1 policy and procedure,L1;SC;Practice;SC.L1-3.13.5,Validate implementation of SC.L1-3.13.5 Public-Access System Separation in the live environment.,SC.L1-3.13.5 is implemented or a concrete gap is documented.
Collect evidence for SC.L1-3.13.5,L1 System & Comms Protection,Level 1,SC,SC.L1-3.13.5,Complete SC Level 1 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,Validate SC.L1-3.13.5 Public-Access System Separation; Level 1 evidence index,L1;SC;Evidence;SC.L1-3.13.5,Collect artifact and operational proof for SC.L1-3.13.5 Public-Access System Separation.,"Evidence for SC.L1-3.13.5 is current, stored, and mapped in the evidence index."
Remediate SC.L1-3.13.5 gaps,L1 System & Comms Protection,Level 1,SC,SC.L1-3.13.5,Complete SC Level 1 family readiness,Remediation,Critical,Joshua Hornback,Sulaiman Ahmad,Gap assessment; evidence review for SC.L1-3.13.5,L1;SC;Remediation;SC.L1-3.13.5,"Close any documentation, implementation, or evidence gaps found for SC.L1-3.13.5 Public-Access System Separation.",Gaps for SC.L1-3.13.5 are closed or formally tracked with owner and due date.
Complete SI Level 1 family readiness,L1 System & Info Integrity,Level 1,SI,,,Epic,High,Joshua Hornback,Sulaiman Ahmad,Level 1 scope; owner matrix,L1;SI;Epic;Family,"Complete Level 1 SI documentation, implementation validation, evidence, review, and approval.",SI Level 1 family package is complete and traceable to all applicable practices.
Finalize SI Level 1 policy,L1 System & Info Integrity,Level 1,SI,,Complete SI Level 1 family readiness,Policy,High,Joshua Hornback,Sulaiman Ahmad,Complete SI Level 1 family readiness; level_1 SI artifacts,L1;SI;Policy,Tailor the Level 1 SI policy content to the live FCI environment.,Policy is approved and reflects the current operating environment.
Finalize SI Level 1 procedure,L1 System & Info Integrity,Level 1,SI,,Complete SI Level 1 family readiness,Procedure,High,Joshua Hornback,Sulaiman Ahmad,Complete SI Level 1 family readiness; level_1 SI artifacts,L1;SI;Procedure,"Document how Level 1 SI controls are performed, maintained, and evidenced in operations.","Procedure is approved, operationally accurate, and linked to evidence sources."
Validate SI Level 1 family implementation,L1 System & Info Integrity,Level 1,SI,,Complete SI Level 1 family readiness,Implementation,Critical,Joshua Hornback,Sulaiman Ahmad,Policy and procedure for SI,L1;SI;Implementation,"Validate the family-level implementation approach, tooling, records, and operating cadence for SI.",Family-level implementation checks are complete and deficiencies are recorded.
Collect SI Level 1 family evidence set,L1 System & Info Integrity,Level 1,SI,,Complete SI Level 1 family readiness,Evidence,High,Joshua Hornback,Sulaiman Ahmad,SI implementation validation; evidence index,L1;SI;Evidence,Assemble the baseline artifact and proof set for the Level 1 SI family.,"The family evidence set is complete, current, and referenced in the evidence index."
Review SI Level 1 family package,L1 System & Info Integrity,Level 1,SI,,Complete SI Level 1 family readiness,Review,High,Sulaiman Ahmad,Sulaiman Ahmad,SI family evidence set,L1;SI;Review,"Review the full Level 1 SI package for completeness, traceability, and readiness.",The family package passes internal review or has tracked corrective actions.
Approve SI Level 1 family package,L1 System & Info Integrity,Level 1,SI,,Complete SI Level 1 family readiness,Approval,High,Ryan Lin,Joshua Hornback,SI family review complete,L1;SI;Approval;Executive,Approve the Level 1 SI package for inclusion in the final readiness set.,Leadership approval or explicit residual risk acceptance is recorded.
Validate SI.L1-3.14.1 Identify and Correct System Flaws,L1 System & Info Integrity,Level 1,SI,SI.L1-3.14.1,Complete SI Level 1 family readiness,Practice,Critical,Joshua Hornback,Sulaiman Ahmad,SI Level 1 policy and procedure,L1;SI;Practice;SI.L1-3.14.1,Validate implementation of SI.L1-3.14.1 Identify and Correct System Flaws in the live environment.,SI.L1-3.14.1 is implemented or a concrete gap is documented.
Collect evidence for SI.L1-3.14.1,L1 System & Info Integrity,Level 1,SI,SI.L1-3.14.1,Complete SI Level 1 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,Validate SI.L1-3.14.1 Identify and Correct System Flaws; Level 1 evidence index,L1;SI;Evidence;SI.L1-3.14.1,Collect artifact and operational proof for SI.L1-3.14.1 Identify and Correct System Flaws.,"Evidence for SI.L1-3.14.1 is current, stored, and mapped in the evidence index."
Remediate SI.L1-3.14.1 gaps,L1 System & Info Integrity,Level 1,SI,SI.L1-3.14.1,Complete SI Level 1 family readiness,Remediation,Critical,Joshua Hornback,Sulaiman Ahmad,Gap assessment; evidence review for SI.L1-3.14.1,L1;SI;Remediation;SI.L1-3.14.1,"Close any documentation, implementation, or evidence gaps found for SI.L1-3.14.1 Identify and Correct System Flaws.",Gaps for SI.L1-3.14.1 are closed or formally tracked with owner and due date.
Validate SI.L1-3.14.2 Malicious Code Protection,L1 System & Info Integrity,Level 1,SI,SI.L1-3.14.2,Complete SI Level 1 family readiness,Practice,Critical,Joshua Hornback,Sulaiman Ahmad,SI Level 1 policy and procedure,L1;SI;Practice;SI.L1-3.14.2,Validate implementation of SI.L1-3.14.2 Malicious Code Protection in the live environment.,SI.L1-3.14.2 is implemented or a concrete gap is documented.
Collect evidence for SI.L1-3.14.2,L1 System & Info Integrity,Level 1,SI,SI.L1-3.14.2,Complete SI Level 1 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,Validate SI.L1-3.14.2 Malicious Code Protection; Level 1 evidence index,L1;SI;Evidence;SI.L1-3.14.2,Collect artifact and operational proof for SI.L1-3.14.2 Malicious Code Protection.,"Evidence for SI.L1-3.14.2 is current, stored, and mapped in the evidence index."
Remediate SI.L1-3.14.2 gaps,L1 System & Info Integrity,Level 1,SI,SI.L1-3.14.2,Complete SI Level 1 family readiness,Remediation,Critical,Joshua Hornback,Sulaiman Ahmad,Gap assessment; evidence review for SI.L1-3.14.2,L1;SI;Remediation;SI.L1-3.14.2,"Close any documentation, implementation, or evidence gaps found for SI.L1-3.14.2 Malicious Code Protection.",Gaps for SI.L1-3.14.2 are closed or formally tracked with owner and due date.
Validate SI.L1-3.14.4 Update Malicious Code Protection,L1 System & Info Integrity,Level 1,SI,SI.L1-3.14.4,Complete SI Level 1 family readiness,Practice,Critical,Joshua Hornback,Sulaiman Ahmad,SI Level 1 policy and procedure,L1;SI;Practice;SI.L1-3.14.4,Validate implementation of SI.L1-3.14.4 Update Malicious Code Protection in the live environment.,SI.L1-3.14.4 is implemented or a concrete gap is documented.
Collect evidence for SI.L1-3.14.4,L1 System & Info Integrity,Level 1,SI,SI.L1-3.14.4,Complete SI Level 1 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,Validate SI.L1-3.14.4 Update Malicious Code Protection; Level 1 evidence index,L1;SI;Evidence;SI.L1-3.14.4,Collect artifact and operational proof for SI.L1-3.14.4 Update Malicious Code Protection.,"Evidence for SI.L1-3.14.4 is current, stored, and mapped in the evidence index."
Remediate SI.L1-3.14.4 gaps,L1 System & Info Integrity,Level 1,SI,SI.L1-3.14.4,Complete SI Level 1 family readiness,Remediation,Critical,Joshua Hornback,Sulaiman Ahmad,Gap assessment; evidence review for SI.L1-3.14.4,L1;SI;Remediation;SI.L1-3.14.4,"Close any documentation, implementation, or evidence gaps found for SI.L1-3.14.4 Update Malicious Code Protection.",Gaps for SI.L1-3.14.4 are closed or formally tracked with owner and due date.
Validate SI.L1-3.14.5 Periodic Scans,L1 System & Info Integrity,Level 1,SI,SI.L1-3.14.5,Complete SI Level 1 family readiness,Practice,Critical,Joshua Hornback,Sulaiman Ahmad,SI Level 1 policy and procedure,L1;SI;Practice;SI.L1-3.14.5,Validate implementation of SI.L1-3.14.5 Periodic Scans in the live environment.,SI.L1-3.14.5 is implemented or a concrete gap is documented.
Collect evidence for SI.L1-3.14.5,L1 System & Info Integrity,Level 1,SI,SI.L1-3.14.5,Complete SI Level 1 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,Validate SI.L1-3.14.5 Periodic Scans; Level 1 evidence index,L1;SI;Evidence;SI.L1-3.14.5,Collect artifact and operational proof for SI.L1-3.14.5 Periodic Scans.,"Evidence for SI.L1-3.14.5 is current, stored, and mapped in the evidence index."
Remediate SI.L1-3.14.5 gaps,L1 System & Info Integrity,Level 1,SI,SI.L1-3.14.5,Complete SI Level 1 family readiness,Remediation,Critical,Joshua Hornback,Sulaiman Ahmad,Gap assessment; evidence review for SI.L1-3.14.5,L1;SI;Remediation;SI.L1-3.14.5,"Close any documentation, implementation, or evidence gaps found for SI.L1-3.14.5 Periodic Scans.",Gaps for SI.L1-3.14.5 are closed or formally tracked with owner and due date.
Complete AC Level 2 family readiness,L2 Access Control,Level 2,AC,,,Epic,High,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Level 2 SSP; owner matrix; evidence index,L2;AC;Epic;Family,"Complete Level 2 AC documentation, implementation validation, evidence, review, and approval.",AC Level 2 family package is complete and traceable to all applicable practices.
Finalize AC Level 2 policy,L2 Access Control,Level 2,AC,,Complete AC Level 2 family readiness,Policy,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,L2 gap register; SSP; existing templates,L2;AC;Policy,Create and tailor the Level 2 AC policy to the live CUI environment.,"Policy is approved, environment-specific, and mapped to practices."
Finalize AC Level 2 procedure,L2 Access Control,Level 2,AC,,Complete AC Level 2 family readiness,Procedure,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,L2 gap register; SSP; existing templates,L2;AC;Procedure,Create and tailor the Level 2 AC procedure to the live CUI environment.,"Procedure is approved, operationally accurate, and linked to evidence sources."
Validate AC Level 2 family implementation,L2 Access Control,Level 2,AC,,Complete AC Level 2 family readiness,Implementation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AC policy and procedure; SSP,L2;AC;Implementation,"Validate the family-level implementation approach, records, system behavior, and operating cadence for AC.",Family-level implementation checks are complete and deficiencies are recorded.
Collect AC Level 2 family evidence set,L2 Access Control,Level 2,AC,,Complete AC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AC implementation validation; Level 2 evidence index,L2;AC;Evidence,Assemble the baseline artifact and proof set for the Level 2 AC family.,"The family evidence set is complete, current, and referenced in the evidence index."
Review AC Level 2 family package,L2 Access Control,Level 2,AC,,Complete AC Level 2 family readiness,Review,High,Sulaiman Ahmad,Andy Volk; Sulaiman Ahmad,AC family evidence set; POA&M,L2;AC;Review,"Review the full Level 2 AC package for completeness, traceability, and assessment readiness.",The family package passes internal review or has tracked corrective actions.
Approve AC Level 2 family package,L2 Access Control,Level 2,AC,,Complete AC Level 2 family readiness,Approval,High,Ryan Lin,Joshua Hornback,AC family review complete,L2;AC;Approval;Executive,Approve the Level 2 AC package for inclusion in the final readiness set.,Leadership approval or explicit residual risk acceptance is recorded.
Validate AC.L2-3.1.1 Authorized Access Control,L2 Access Control,Level 2,AC,AC.L2-3.1.1,Complete AC Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AC Level 2 policy and procedure; SSP,L2;AC;Practice;AC.L2-3.1.1,Validate implementation of AC.L2-3.1.1 Authorized Access Control in the live CUI environment.,AC.L2-3.1.1 is implemented or a concrete gap is documented.
Collect evidence for AC.L2-3.1.1,L2 Access Control,Level 2,AC,AC.L2-3.1.1,Complete AC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AC.L2-3.1.1 Authorized Access Control; Level 2 evidence index,L2;AC;Evidence;AC.L2-3.1.1,Collect artifact and operational proof for AC.L2-3.1.1 Authorized Access Control.,"Evidence for AC.L2-3.1.1 is current, stored, and mapped in the evidence index."
Remediate AC.L2-3.1.1 gaps,L2 Access Control,Level 2,AC,AC.L2-3.1.1,Complete AC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AC.L2-3.1.1,L2;AC;Remediation;AC.L2-3.1.1,"Close any documentation, implementation, or evidence gaps found for AC.L2-3.1.1 Authorized Access Control.",Gaps for AC.L2-3.1.1 are closed or formally tracked in the POA&M with owner and due date.
Validate AC.L2-3.1.2 Transaction and Function Control,L2 Access Control,Level 2,AC,AC.L2-3.1.2,Complete AC Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AC Level 2 policy and procedure; SSP,L2;AC;Practice;AC.L2-3.1.2,Validate implementation of AC.L2-3.1.2 Transaction and Function Control in the live CUI environment.,AC.L2-3.1.2 is implemented or a concrete gap is documented.
